Cipher,PT Length,Cycles (est.),Energy (nJ),Energy (µJ)
ASCON-AEAD128,16,29,19488.05,19.488
ASCON-AEAD128,64,61,41034.97,41.035
ASCON-AEAD128,256,194,130187.69,130.188
ASCON-AEAD128,1024,718,480725.49,480.725
ASCON-Hash256,16,51,34381.65,34.382
ASCON-Hash256,64,102,68275.44,68.275
ASCON-Hash256,256,306,205179.83,205.18
ASCON-Hash256,1024,1142,764792.0,764.792
PRESENT-128 CBC,8,649,435104.47,435.104
PRESENT-128 CBC,16,1296,868209.06,868.209
PRESENT-128 CBC,64,5234,3506669.65,3506.67
PRESENT-128 CBC,256,20879,13987209.19,13987.209
PRESENT-128 CBC,1024,83426,55889063.44,55889.063
PRESENT-128 CTR,8,327,218787.43,218.787
PRESENT-128 CTR,16,649,434820.55,434.821
PRESENT-128 CTR,64,2586,1732550.24,1732.55
PRESENT-128 CTR,256,10379,6953070.36,6953.07
PRESENT-128 CTR,1024,41250,27634223.19,27634.223
PRESENT-128 ECB,8,625,418647.93,418.648
PRESENT-128 ECB,16,1245,834298.75,834.299
PRESENT-128 ECB,64,4977,3334061.05,3334.061
PRESENT-128 ECB,256,19889,13323958.48,13323.958
PRESENT-128 ECB,1024,80568,53974628.8,53974.629
PRESENT-80 CBC,8,642,430413.17,430.413
PRESENT-80 CBC,16,1255,840486.9,840.487
PRESENT-80 CBC,64,5129,3436313.25,3436.313
PRESENT-80 CBC,256,20920,14015126.27,14015.126
PRESENT-80 CBC,1024,82489,55261577.25,55261.577
PRESENT-80 CTR,8,325,217540.22,217.54
PRESENT-80 CTR,16,654,438028.21,438.028
PRESENT-80 CTR,64,2585,1731650.71,1731.651
PRESENT-80 CTR,256,10384,6956596.08,6956.596
PRESENT-80 CTR,1024,41483,27790707.73,27790.708
PRESENT-80 ECB,8,638,427601.96,427.602
PRESENT-80 ECB,16,1262,845499.39,845.499
PRESENT-80 ECB,64,5059,3389145.65,3389.146
PRESENT-80 ECB,256,20270,13579585.0,13579.585
PRESENT-80 ECB,1024,79128,53009965.17,53009.965
SPECK-64/128 CBC,8,4,2514.07,2.514
SPECK-64/128 CBC,16,7,4708.15,4.708
SPECK-64/128 CBC,64,27,18314.47,18.314
SPECK-64/128 CBC,256,109,73243.27,73.243
SPECK-64/128 CBC,1024,427,285974.56,285.975
SPECK-64/128 CTR,8,4,2576.37,2.576
SPECK-64/128 CTR,16,7,4652.66,4.653
SPECK-64/128 CTR,64,26,17246.48,17.246
SPECK-64/128 CTR,256,100,66941.82,66.942
SPECK-64/128 CTR,1024,386,258298.47,258.298
SPECK-64/128 ECB,8,6,3965.7,3.966
SPECK-64/128 ECB,16,10,6812.45,6.812
SPECK-64/128 ECB,64,38,25308.75,25.309
SPECK-64/128 ECB,256,146,97661.14,97.661
SPECK-64/128 ECB,1024,561,375956.36,375.956
SPECK-64/96 CBC,8,8,5516.32,5.516
SPECK-64/96 CBC,16,13,8482.13,8.482
SPECK-64/96 CBC,64,47,31724.38,31.724
SPECK-64/96 CBC,256,185,123707.92,123.708
SPECK-64/96 CBC,1024,734,491467.83,491.468
SPECK-64/96 CTR,8,7,4958.8,4.959
SPECK-64/96 CTR,16,11,7441.69,7.442
SPECK-64/96 CTR,64,41,27535.91,27.536
SPECK-64/96 CTR,256,159,106297.48,106.297
SPECK-64/96 CTR,1024,626,419090.88,419.091
SPECK-64/96 ECB,8,6,3884.87,3.885
SPECK-64/96 ECB,16,10,6702.01,6.702
SPECK-64/96 ECB,64,35,23568.12,23.568
SPECK-64/96 ECB,256,132,88297.37,88.297
SPECK-64/96 ECB,1024,516,345493.68,345.494
